"","t","k","mean_ER"
"1",1,32,0.0075770940993702
"2",1,33,0.00899434806630625
"3",1,34,0.00839639320729042
"4",1,35,0.00788073138434176
"5",1,36,0.00893961076376699
"6",1,37,0.010172572256672
"7",1,38,0.0109431902125261
"8",1,39,0.0111264780251059
"9",1,40,0.0101718090358958
"10",1,41,0.0105300347396383
"11",1,42,0.0106863566856653
"12",1,43,0.0110377998056444
"13",1,44,0.0116617795405537
"14",1,45,0.0099354530006862
"15",1,46,0.009226310761531
"16",1,47,0.00811036546297773
"17",1,48,0.0087807423234309
"18",1,49,0.00896564197712386
"19",1,50,0.00836873201991171
"20",1,51,0.00967795416732548
"21",1,52,0.0095110041996028
"22",1,53,0.00831845117599039
"23",1,54,0.0083508418227517
"24",1,55,0.00867563397982218
"25",1,56,0.00883401495101151
"26",1,57,0.00807788498392706
"27",1,58,0.00762692905613088
"28",1,59,0.00751011311426237
"29",1,60,0.0076973621520353
"30",1,61,0.00768591561272302
"31",1,62,0.00646386987133617
"32",1,63,0.00637072813464503
"33",1,64,0.00645109861327405
"34",1,65,0.00662051541835683
"35",1,66,0.00736916132635348
"36",1,67,0.00670936560135693
"37",1,68,0.00590011160508568
"38",1,69,0.00556065555155995
"39",1,70,0.00588432878622051
"40",1,71,0.00511371701146793
"41",1,72,0.00559249764022853
"42",1,73,0.00524451917566621
"43",1,74,0.00507976912736722
"44",1,75,0.00491146196844499
"45",1,76,0.00408496875785303
"46",1,77,0.00417673490543214
"47",1,78,0.00386689044188014
"48",1,79,0.00391682262195212
"49",1,80,0.00364509562687085
"50",1,81,0.00372819785274412
"51",1,82,0.00351567954602541
"52",1,83,0.00329488499652658
"53",1,84,0.00372413804287022
"54",1,85,0.0043779492680264
"55",1,86,0.00414488843375691
"56",1,87,0.00403367824050941
"57",1,88,0.00428085389634474
"58",1,89,0.00462758796018316
"59",1,90,0.00423703443806018
"60",1,91,0.00366708491176338
"61",1,92,0.00413008618681564
"62",1,93,0.00430694475053569
"63",1,94,0.00446704294770814
"64",1,95,0.00371937313417154
"65",1,96,0.00328679688825984
"66",1,97,0.0029782889802141
"67",1,98,0.00238322227965657
"68",1,99,0.00241561526821816
"69",1,100,0.00229289831327823
"70",1,101,0.00215496078944755
"71",1,102,0.00231377563364051
"72",1,103,0.00254014048724659
"73",1,104,0.00298098401773309
"74",1,105,0.00280015960037852
"75",1,106,0.00251084013754279
"76",1,107,0.00206755617136152
"77",1,108,0.00215895106557761
"78",1,109,0.0024196260314789
"79",1,110,0.00271923853779841
"80",1,111,0.00276274163916393
"81",1,112,0.00261714222572083
"82",1,113,0.00245846133532931
"83",1,114,0.0028141957039442
"84",1,115,0.00326789785461574
"85",1,116,0.00310023177537434
"86",1,117,0.00298489110976965
"87",2,32,-0.0017058557165706
"88",2,33,-0.00134888381940854
"89",2,34,-0.00202556728680653
"90",2,35,-0.000925747822886316
"91",2,36,0.000927642928434189
"92",2,37,-8.89411642332813e-05
"93",2,38,0.00155144832020995
"94",2,39,0.00200145087287745
"95",2,40,0.00144240687764665
"96",2,41,0.00128210378789896
"97",2,42,0.00246598410993046
"98",2,43,0.00160749657926592
"99",2,44,0.0018301119302059
"100",2,45,0.000414925045289169
"101",2,46,-0.000458173449294539
"102",2,47,-0.000622378347329325
